"IDS","Date/Timestamp","Detection Severity","Detection Type","Threat Description","Source IP","Destination IP","Destination Port","Source Port","Source MAC Address","Hostname","Destination Hostname","Source Hostname","Destination Group Name","attack_phase","Reference","Sha256","status"
,"6/28/18 12:02 PM","High","Malicious Behavior","Wget Commandline Injection","88.108.210.227","134.186.61.123","8080","41393","00:1e:f7:f7:0d:c0","127.0.0.1","134.186.61.123","88-108-210-227.dynamic.dsl.as9105.com","California Department of Technology/Office of Technology","Point of Entry","","","Unresolved"
,"6/28/18 12:06 PM","High","Malicious Behavior","Wget Commandline Injection","116.121.117.124","134.186.12.134","8080","36085","00:1e:f7:f7:0d:c0","127.0.0.1","134.186.12.134","116.121.117.124","California Department of Technology/Office of Technology","Point of Entry","","","Unresolved"
,"6/28/18 12:06 PM","High","Malicious Behavior","Wget Commandline Injection","116.121.117.124","67.157.42.13","80","47041","00:1e:f7:f7:0d:c0","127.0.0.1","esprep.oshpd.ca.gov","116.121.117.124","California Department of Technology/Tenant Managed Services","Point of Entry","","","Unresolved"
,"6/28/18 12:09 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.169.123","8800","56078","00:1e:f7:f7:0d:c0","134.186.169.123","134.186.169.123","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:09 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.169.154","8800","56721","00:1e:f7:f7:0d:c0","134.186.169.154","134.186.169.154","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:10 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.169.90","8800","58552","00:1e:f7:f7:0d:c0","134.186.169.90","134.186.169.90","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:10 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.201.65","8800","58536","00:1e:f7:f7:0d:c0","134.186.201.65","134.186.201.65","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:10 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.169.102","8800","58740","00:1e:f7:f7:0d:c0","134.186.169.102","134.186.169.102","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:10 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.169.148","8800","59239","00:1e:f7:f7:0d:c0","134.186.169.148","134.186.169.148","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
,"6/28/18 12:10 PM","High","Exploits","CVE-2017-5638 - APACHE STRUTS EXPLOIT - HTTP (Request) - Variant 2","112.226.76.11","134.186.201.74","8800","59168","00:1e:f7:f7:0d:c0","134.186.201.74","134.186.201.74","112.226.76.11","California Department of Technology/Office of Technology","Point of Entry","CVE-2017-5638","","Unresolved"
